date,pression de la boucle,vide bouilleur,niveau bouilleur,depression,temperature E,temperature S,debit 29%,debit 54%,pression calendre,ampérage AP04
02-Jan-23 15:00:00,2.625361443,1032.214478,92.76618958,,21.73267937,21.55856323,0.025633954,0.013403583,-0.017785162,34.43021774
02-Jan-23 16:00:00,1.633251667,324.0296326,90.87330627,,21.97814178,21.85333061,0.024688523,2.586772442,-0.017582409,1.49317E-17
02-Jan-23 17:00:00,-0.001223198,770.6034546,23.00868225,,21.56608963,21.55696297,0.022963477,0.009050664,-0.018071134,1.49317E-17
02-Jan-23 18:00:00,-0.001260933,770.5463867,22.98223877,,21.68319702,20.97105408,0.021616502,0.01717943,-0.018242128,1.49317E-17
02-Jan-23 19:00:00,2.768238783,774.5735474,83.28617859,,53.34224319,49.97732925,0.024947487,0.016274096,-0.017612366,1.49317E-17
02-Jan-23 20:00:00,2.447778463,374.9730835,91.02524567,,53.29674911,53.14006805,0.025256496,0.016395006,-0.0171762,34.43021774
02-Jan-23 21:00:00,2.06645298,138.256073,91.73809052,,76.32447052,74.83547211,0.025411515,0.015086755,0.655146122,34.43021774
02-Jan-23 22:00:00,2.049878359,117.9655228,92.74095917,,84.64260864,78.23075867,54.91996002,21.99484825,1.134699464,34.43021774
02-Jan-23 23:00:00,2.070373058,123.9019241,92.13076782,,87.71962738,81.68306732,55.05047989,17.60352325,1.135961175,34.43021774
03-Jan-23 00:00:00,2.102231741,119.2414017,92.67636108,,89.32200623,83.37911224,55.02181625,17.83822823,1.195305109,34.43021774
03-Jan-23 01:00:00,2.123911142,119.7870255,92.51561737,,90.55171204,84.79465485,54.97098923,17.99952126,1.235163927,34.43021774
03-Jan-23 02:00:00,2.142762661,117.3752136,92.8240509,,90.5822525,85.01355743,54.98648071,18.9228363,1.21513021,34.43021774
03-Jan-23 03:00:00,2.150344133,116.7148819,92.58418274,,90.95132446,85.53956604,55.00308228,21.01867867,1.237594366,34.43021774
03-Jan-23 04:00:00,2.170454502,117.7389069,92.57382965,,91.96326447,86.39654541,55.02048874,21.06139183,1.256912112,34.43021774
03-Jan-23 05:00:00,2.167459965,116.3347092,92.70968628,,91.28557587,86.01281738,55.02778244,21.02456284,1.183830976,34.43021774
