date,pression de la boule,vide bouilleur,niveau bouilleur,depression,temperature E,temperature S,debit 29% E,debit54% S ,pression calendre,amperage AP04
02-Jan-23 17:00:00,2.034177065,728.7504272,91.22304535,,74.70106506,74.23002625,0.02546232,Configure,0.00,9.981645584
02-Jan-23 18:00:00,2.002929211,727.7682495,90.74140167,,94.60215759,94.45774841,0.026729628,Configure,0.00,9.884905815
02-Jan-23 19:00:00,2.089678049,742.0418701,91.13996124,,90.55054474,90.50556946,0.023211507,Configure,0.00,9.978031158
02-Jan-23 20:00:00,2.069304228,744.7994995,91.07209778,,91.474823,91.26425934,3.062994242,Configure,0.00,9.896445274
02-Jan-23 21:00:00,1.305811763,719.9942627,89.38441467,,85.6566925,91.09954071,0.025395766,Configure,0.00,3.47268E-17
02-Jan-23 22:00:00,0.992331803,728.2071533,89.4656601,,76.97226715,89.16362,0.028493462,Configure,0.00,3.47268E-17
02-Jan-23 23:00:00,-0.014724303,723.2265015,88.71975708,,67.29708862,63.25137329,0.025711846,Configure,0.00,3.47268E-17
03-Jan-23 00:00:00,1.867352724,719.3339844,88.83862305,,55.32789993,53.3799324,6.502304554,Configure,0.00,3.47268E-17
03-Jan-23 01:00:00,2.758191347,709.3085938,90.11482239,,53.85319901,52.55299377,0.02664612,Configure,0.00,3.47268E-17
03-Jan-23 02:00:00,2.395465851,126.6695404,90.0259552,,57.8599968,56.12314224,0.029455574,Configure,0.00,13.91734219
03-Jan-23 03:00:00,2.320209742,89.0164566,90.62139893,,85.0013504,80.47140503,0.026303114,Configure,0.00,13.98560143
03-Jan-23 04:00:00,2.360291719,90.53065491,90.91505432,,87.85497284,83.14022064,0.024078356,Configure,0.00,14.00748444
03-Jan-23 05:00:00,2.366636276,89.59858704,90.78089905,,88.78931427,83.92243958,0.024013864,Configure,0.00,14.15259075
03-Jan-23 06:00:00,2.374464273,89.5036087,90.12779999,,89.88952637,85.18050385,0.022615217,Configure,0.00,14.12659836
03-Jan-23 07:00:00,2.372543335,90.00150299,89.77811432,,90.32613373,86.5163269,0.024394454,Configure,0.00,14.2423315
03-Jan-23 08:00:00,2.394192934,90.38329315,90.25901031,,88.97841644,85.08636475,0.020195754,Configure,0.00,14.16728973
03-Jan-23 09:00:00,2.398448229,89.04022217,90.45054626,,88.90733337,84.88262177,0.023587996,Configure,0.00,13.98610115
03-Jan-23 10:00:00,2.393968105,90.2857666,90.61638641,,88.74354553,84.66506195,0.024159972,Configure,0.00,14.08901596
03-Jan-23 11:00:00,2.428509712,91.02726746,90.65663147,,88.53177643,84.50049591,0.023065101,Configure,0.00,14.07209969
03-Jan-23 12:00:00,2.417723656,91.81855774,89.76538849,,88.35966492,84.35767365,0.023907017,Configure,0.00,14.1582489
03-Jan-23 13:00:00,2.408912659,93.22170258,90.22754669,,88.37562561,84.34972382,0.023932377,Configure,0.00,14.01652431
