date,pression de la boucle,vide bouilleur,niveau bouileur,depression,temperature E,temperature S,debit 29%,debit 54%,pression calendre,amperage AP04
02-Jan-23 15:00:00,2.163130522,768.6796875,89.41581726,,88.12633514,87.89328766,0.02447442,0.015086736,-0.146634892,9.602515221
02-Jan-23 16:00:00,2.162795782,769.2070923,89.68618011,,87.73262787,87.47740173,0.027648753,0.014694219,-0.192221463,9.593349457
02-Jan-23 17:00:00,2.158471346,768.984314,89.65847778,,87.30888367,87.07572174,0.025492074,0.014934528,-0.217699125,9.639176369
02-Jan-23 18:00:00,2.149368048,769.5566406,89.43520355,,95.49869537,94.51628876,0.028496105,0.014621714,0.818521857,9.47265625
02-Jan-23 19:00:00,2.284476757,769.8955078,89.83610535,,90.66246796,90.61277771,38.05537415,27.94933128,0.713092387,9.560625076
02-Jan-23 20:00:00,2.288032532,771.5325928,90.03367615,,92.91121674,92.31742859,2.361145735,0.015846295,0.607599676,9.544675827
02-Jan-23 21:00:00,2.152700424,705.9108276,89.80519104,,92.97144318,92.76760864,0.029268531,16.56829262,0.326376468,9.441474915
02-Jan-23 22:00:00,2.128772736,707.3588257,89.76351929,,92.71009064,92.46414948,0.026999459,14.84626102,0.300920367,9.536878586
02-Jan-23 23:00:00,2.112987995,706.9638062,89.46780396,,89.80012512,90.48730469,0.027799308,29.02859116,0.310276806,9.655890465
03-Jan-23 00:00:00,2.229535341,739.8256226,89.90873718,,89.04676819,88.50965118,0.026005646,29.10436821,0.630943477,9.479999542
03-Jan-23 01:00:00,2.409936428,827.5443115,89.94250488,,91.38499451,90.92160034,0.028458461,33.20703888,0.640939713,9.428004265
03-Jan-23 02:00:00,2.901892662,1032.676514,89.83522034,,93.52867126,93.19639587,0.024984684,57.49357605,0.639448464,9.429841042
03-Jan-23 03:00:00,2.435754299,856.4057617,89.73569489,,92.96231842,92.72029114,39.73605347,57.26866913,0.56437844,9.414618492
03-Jan-23 04:00:00,2.356840611,808.9979248,90.22209167,,92.09442139,91.93883514,39.6362381,25.02335739,0.442721218,9.479642868
03-Jan-23 05:00:00,2.299745321,772.4498901,90.04516602,,91.47157288,91.21839142,0.027267506,23.08893204,0.078603663,9.471429825
03-Jan-23 06:00:00,2.24140811,770.8986816,89.97616577,,91.07045746,90.79368591,0.023175202,21.29991531,0.021593023,9.516601563
03-Jan-23 07:00:00,2.195331812,770.5216675,89.93190002,,90.56639862,90.3204422,0.025172351,19.41408539,-0.007099035,9.548418045
03-Jan-23 08:00:00,1.66400075,761.8813477,0.034662452,,84.75228882,89.39988708,0.026680727,0.014618542,-0.028649773,3.25713E-17
03-Jan-23 09:00:00,0.004997517,768.2862549,0.029781714,,65.77282715,63.27297211,0.02544344,0.014186725,-0.031695474,3.25713E-17
03-Jan-23 10:00:00,0.009871312,735.0836182,0.02654846,,51.87792969,49.9548645,0.022774588,0.013395897,-0.029323313,3.25713E-17
03-Jan-23 11:00:00,0.018535435,761.9161377,0.028424522,,56.82411194,25.02537918,0.023722505,0.013904711,-0.028938212,3.25713E-17
03-Jan-23 12:00:00,0.017719423,761.9481201,0.03606705,,49.94313049,19.97093773,0.02415289,0.012632002,-0.028388023,3.25713E-17
03-Jan-23 13:00:00,0.017900558,761.5194092,0.03615889,,42.5776329,17.37271309,0.025067186,0.014645448,-0.028846227,3.25713E-17
03-Jan-23 14:00:00,0.017609501,760.9314575,0.039557297,,36.40727234,24.53873825,0.027893003,0.015196248,-0.028867239,3.25713E-17
03-Jan-23 15:00:00,0.018054347,760.6992188,0.035698008,,34.97368622,24.72850418,0.023022601,0.014690756,-0.028986713,3.25713E-17
03-Jan-23 16:00:00,0.640985191,762.9580078,0.032395583,,33.3964119,33.43346786,0.025226669,0.015565671,-0.027405167,3.25713E-17
03-Jan-23 17:00:00,3.408043623,534.6103516,89.62006378,,51.26227951,51.08086014,0.028546657,0.014693384,-0.028290179,14.65303421
03-Jan-23 18:00:00,2.696371794,121.5354843,89.24554443,,62.16109467,61.42965317,0.027823094,0.014529882,0.475301981,14.36512375
03-Jan-23 19:00:00,2.75223875,147.0656738,89.84158325,,98.27055359,94.15866089,54.95811081,24.98337173,1.108066678,13.68593884
03-Jan-23 20:00:00,2.733486414,88.20026398,89.23149872,,89.12284088,81.87902069,54.94037247,0.016533207,1.634152412,14.03526878
03-Jan-23 21:00:00,2.728740692,104.2681961,89.06149292,,90.83986664,83.60822296,55.67074585,49.35023499,1.623500705,13.93811131
03-Jan-23 22:00:00,2.622400761,82.53937531,89.60569763,,86.89044952,79.01118469,54.99662399,34.25662613,1.610403538,14.31838036
03-Jan-23 23:00:00,2.600982666,82.6032486,89.55011749,,86.42974854,78.43425751,54.95693207,29.98306084,1.635231853,14.12220383
04-Jan-23 00:00:00,2.560372591,84.21020508,89.37705994,,86.22962189,78.07378387,54.98807526,26.5203495,1.670662403,14.22300911
04-Jan-23 01:00:00,2.564030647,81.96081543,89.5234375,,86.15640259,77.88928986,54.96939468,21.99038887,1.650773287,13.77390003
04-Jan-23 02:00:00,2.574348688,81.86014557,89.14131165,,86.1499939,77.8536377,54.9819603,23.00976753,1.622213125,14.18541527
04-Jan-23 03:00:00,2.541055202,80.88941956,89.29876709,,86.00765228,77.67066956,54.99509811,23.01041222,1.677289128,14.54668427
04-Jan-23 04:00:00,2.572039127,81.16794586,89.40366364,,85.88144684,77.69289398,55.01926804,22.97228241,1.66628325,14.20003414
04-Jan-23 05:00:00,2.527459145,79.80717468,89.31447601,,85.95620728,77.73960876,54.97385406,22.99365807,1.642204762,14.24000645
04-Jan-23 06:00:00,2.569880247,81.32210541,89.18823242,,85.9249649,77.71578217,55.04225922,22.97023392,1.617691636,14.2355423
04-Jan-23 07:00:00,2.560808659,83.23740387,89.32459259,,86.18587494,78.00993347,55.02619553,23.01345253,1.667776227,14.30104923
04-Jan-23 08:00:00,2.576104879,82.20546722,89.39012146,,86.14170837,78.0411377,55.021698,22.98657417,1.668409228,14.29936314
04-Jan-23 09:00:00,2.587113857,83.51656342,89.14556885,,86.31578064,78.11198425,55.01790619,23.03420258,1.62694788,14.08764744
04-Jan-23 10:00:00,2.594747066,83.83310699,89.11670685,,86.13274384,77.94959259,55.02392578,22.99778557,1.639852166,14.17827797
04-Jan-23 11:00:00,2.592737198,85.33352661,89.1862793,,86.59137726,78.4431076,55.00265884,23.00154114,1.659037352,14.12364388
04-Jan-23 12:00:00,2.578732252,85.22783661,88.84934998,,86.63249969,78.55593109,54.99077988,23.00789452,1.637831569,13.88927937
04-Jan-23 13:00:00,2.579955816,89.46215057,89.14385986,,86.85038757,78.75619507,54.93894577,22.99240112,1.648486257,14.17526531
04-Jan-23 14:00:00,2.586793661,87.51985931,89.23169708,,86.87082672,78.81491089,54.97870636,23.00671577,1.658714414,14.112813
04-Jan-23 15:00:00,2.573037386,84.79206085,89.28675842,,86.75362396,78.50419617,54.99979019,22.9895401,1.643366456,14.28081512
04-Jan-23 16:00:00,2.573936701,86.70585632,89.09918976,,86.61291504,78.5457077,54.97650528,25.99534225,1.642307878,14.22827053
04-Jan-23 17:00:00,2.572753191,86.55516052,89.29327393,,86.61313629,78.50749969,55.0094986,22.964077,1.633687735,14.14010525
04-Jan-23 18:00:00,2.558397532,88.60005951,89.10443878,,86.78619385,78.79266357,55.00125504,22.98866463,1.634279847,13.9818325
04-Jan-23 19:00:00,2.495834351,88.8010025,88.87317657,,86.65513611,78.5866394,54.99152756,22.99699783,1.693969131,14.160882
04-Jan-23 20:00:00,2.567379475,99.29707336,89.338974,,89.03442383,81.17084503,54.99720001,23.00843239,1.671491265,13.89389515
04-Jan-23 21:00:00,2.589591265,98.90720367,89.19603729,,88.8032608,80.95901489,54.99511337,22.98438644,1.646616459,13.79495335
04-Jan-23 22:00:00,2.577726126,99.47390747,89.00203705,,88.7427597,80.90757751,55.10234833,23.0049324,1.673063159,13.94121647
04-Jan-23 23:00:00,2.575251579,98.42185974,89.3327713,,88.63088226,80.74924469,54.99129868,23.00552559,1.668708205,13.96147156
05-Jan-23 00:00:00,2.591377497,99.77088165,89.13017273,,88.58450317,80.79203796,54.96255875,23.00067711,1.60855329,14.09799576
05-Jan-23 01:00:00,2.549013138,84.7359314,89.27597809,,86.01777649,77.84347534,54.9994812,27.32601738,1.627791762,14.14612675
05-Jan-23 02:00:00,2.539029598,82.78492737,89.18282318,,86.25548553,77.95667267,54.9839325,22.94717026,1.640421033,14.26205921
05-Jan-23 03:00:00,2.547964096,84.65921783,89.09801483,,86.01077271,77.99008179,54.98584366,22.96778488,1.660686255,14.32672691
05-Jan-23 04:00:00,2.574611664,86.06254578,89.23249054,,86.34072876,78.35629272,55.0141983,22.99466133,1.658927679,14.04848099
05-Jan-23 05:00:00,2.543176174,84.962883,88.76676941,,86.20215607,78.16374969,55.00382233,23.0359993,1.637252688,14.22110653
05-Jan-23 06:00:00,2.54597187,86.56575012,89.0326767,,86.33908081,78.24077606,54.99856567,22.98115158,1.646482229,14.219203
05-Jan-23 07:00:00,2.564425945,85.98361206,89.03965759,,86.33332062,78.3487854,54.99519348,21.03618431,1.65376687,14.12835598
05-Jan-23 08:00:00,2.57055378,86.50872803,89.32012939,,86.40148163,78.38070679,55.04921341,21.02759361,1.658572078,13.95153999
05-Jan-23 09:00:00,2.542474747,85.00551605,89.42971802,,86.45797729,78.41761017,55.0622406,20.98414803,1.654778719,14.00945854
05-Jan-23 10:00:00,2.543084383,83.48141479,88.9069519,,86.0716095,78.08135223,54.99503708,21.02596664,1.646829963,14.06907749
05-Jan-23 11:00:00,2.563975096,85.95089722,88.74027252,,86.5821228,78.69603729,54.97390366,20.99701691,1.654133558,14.61303997
05-Jan-23 12:00:00,2.573501587,88.54525757,89.48725128,,86.54536438,78.75852203,55.00969315,20.98377228,1.63928616,14.00130844
05-Jan-23 13:00:00,2.606521368,88.896698,89.19384766,,86.76804352,78.97773743,55.00864029,20.99938393,1.624123573,14.26202869
05-Jan-23 14:00:00,2.583753109,95.32311249,89.18128967,,87.21073151,79.36805725,54.98477936,21.00714684,1.667353868,14.05243206
05-Jan-23 15:00:00,2.629556179,102.0298157,89.19573212,,88.97627258,81.34869385,54.97764969,23.9829731,1.637462139,14.03245449
05-Jan-23 16:00:00,2.582057714,123.5044556,89.01271057,,89.63603973,82.07576752,55.00529861,24.02936172,1.651788592,13.76848793
05-Jan-23 17:00:00,2.540737391,107.953743,88.9414444,,86.26020813,77.97742462,55.01282501,23.94115448,1.602169633,13.41993523
05-Jan-23 18:00:00,2.439146757,94.78858948,89.29128265,,83.07686615,74.17720795,54.95742035,20.14264107,1.599239945,13.5065155
05-Jan-23 19:00:00,2.444234371,96.48413849,88.74226379,,83.38049316,74.4023056,54.95742416,20.01311111,1.63339746,13.48815155
05-Jan-23 20:00:00,2.459405899,89.60623932,88.93101501,,83.92878723,75.24756622,54.96673584,17.95063019,1.655575037,13.81716919
05-Jan-23 21:00:00,2.493846893,91.80108643,88.74456787,,84.97776794,76.20340729,54.97950363,18.06010246,1.770834684,13.80928421
05-Jan-23 22:00:00,2.531563282,92.30886078,89.15139008,,85.67952728,77.23519135,55.01147079,17.9995327,1.809826136,14.02871037
05-Jan-23 23:00:00,2.519422293,91.00998688,88.7233429,,86.1481781,77.75939178,54.95913696,20.0078125,1.795806527,13.81941223
06-Jan-23 00:00:00,2.497256279,90.02963257,89.31898499,,85.49333954,77.04314423,54.95528412,19.99940491,1.776059508,14.020751
06-Jan-23 01:00:00,2.542567968,90.46504974,89.10124207,,86.13554382,77.90136719,54.9752655,18.99524307,1.785812616,13.99086666
06-Jan-23 02:00:00,2.538703442,87.80257416,88.91348267,,86.40744781,78.12688446,55.01159668,18.98019028,1.797986627,14.04463863
06-Jan-23 03:00:00,2.573481798,89.31440735,89.05542755,,86.39739227,78.29183197,55.00202942,18.99724007,1.785886168,14.03861427
06-Jan-23 04:00:00,2.581302643,89.96105957,89.21208191,,86.59870911,78.54373932,55.01495743,19.00972939,1.803865194,14.23955631
06-Jan-23 05:00:00,2.582361698,87.5068512,88.96326447,,86.61029053,78.58352661,55.00876236,20.99837303,1.784269214,14.15620327
06-Jan-23 06:00:00,2.571206808,85.7229538,89.22093201,,86.78548431,78.8921051,54.99357605,20.99042892,1.793507218,14.28957176
06-Jan-23 07:00:00,2.607162237,86.64802551,89.33566284,,87.04723358,78.89978027,55.00349045,21.00877571,1.79212904,14.00209618
06-Jan-23 08:00:00,2.585931778,84.00961304,88.86839294,,86.90615082,79.05662537,55.0028801,20.96346855,1.81328845,14.13850212
06-Jan-23 09:00:00,2.621451855,84.81975555,89.0200119,,86.80537415,79.05464172,54.99601364,20.99328995,1.790923357,14.25195122
06-Jan-23 10:00:00,2.600539446,86.13799286,89.19472504,,87.17521667,79.45661926,55.01202774,21.00349808,1.798542619,14.21962547
06-Jan-23 11:00:00,2.590415478,85.84327698,88.86997223,,87.16209412,79.4618454,55.03394318,21.0073452,1.802608132,14.15110874
06-Jan-23 12:00:00,2.611023903,86.50827026,89.04250336,,87.42657471,79.6856842,54.99007416,20.98349953,1.79581356,14.32973385
06-Jan-23 13:00:00,2.630196333,88.07706451,89.33853912,,87.59008789,79.88195038,54.99385834,21.01099777,1.805253148,13.98476887
06-Jan-23 14:00:00,2.6533041,88.67206573,89.38715363,,87.62372589,79.97650909,55.02184677,21.00826263,1.774001956,13.7439146
06-Jan-23 15:00:00,2.640311003,86.93196106,88.95166779,,87.08957672,79.38999176,55.02172852,20.99876213,1.827200651,14.06981087
06-Jan-23 16:00:00,2.649510622,83.86377716,89.09043121,,87.06616974,79.37609863,54.96327591,21.00172997,1.790807486,14.20859241
06-Jan-23 17:00:00,2.663618565,87.21871185,89.33869934,,87.08875275,79.49583435,55.06444931,21.03223419,1.798983216,13.90462208
06-Jan-23 18:00:00,2.679390907,86.18541718,88.85592651,,87.21337128,79.54055023,54.99191666,21.01190758,1.7519207,14.05104637
06-Jan-23 19:00:00,2.685374498,89.91890717,89.17563629,,87.835289,80.06803894,55.05503082,21.02479553,1.816221833,14.08572483
06-Jan-23 20:00:00,2.6827631,88.36032104,88.57260895,,87.69962311,80.08423615,54.99336243,25.79013443,1.798406124,14.10511875
06-Jan-23 21:00:00,2.645320654,90.13479614,89.13613892,,87.25574493,79.76833344,55.00300598,25.99830055,1.79573071,14.38364887
06-Jan-23 22:00:00,2.630616426,86.80028534,89.29168701,,87.24515533,79.56500244,55.05756378,26.00920868,1.779971719,14.13775063
06-Jan-23 23:00:00,2.644471407,87.71398163,89.00067139,,87.07369995,79.40188599,55.01570129,25.98683357,1.766335726,14.14472198
07-Jan-23 00:00:00,2.619049072,85.36508179,89.39664459,,86.86290741,79.17423248,54.99512863,26.01114655,1.784012079,14.24272919
07-Jan-23 01:00:00,2.610399723,86.75784302,89.16398621,,87.50012207,79.90919495,54.99195099,25.98436546,1.793715596,14.2167654
07-Jan-23 02:00:00,2.572515488,86.89771271,89.087677,,87.55429077,79.9739151,55.05564499,25.9850769,1.792434335,14.08730793
07-Jan-23 03:00:00,2.57017827,87.45166779,88.88009644,,87.56028748,80.02862549,54.99194336,26.00828934,1.80069375,14.22703552
07-Jan-23 04:00:00,2.569612026,86.40335083,89.18882751,,87.29405975,79.69112396,54.94255066,22.00965309,1.788635015,14.18529987
07-Jan-23 05:00:00,2.570102215,86.50167847,88.66506958,,87.22200775,79.53741455,55.02365494,21.99129105,1.772302747,13.90325451
07-Jan-23 06:00:00,2.556328297,89.17212677,88.95280457,,87.4878006,79.70857239,54.97574997,22.02905273,1.799947977,13.76191998
07-Jan-23 07:00:00,2.561008215,88.25617981,89.03131866,,87.34275055,79.74018097,55.03994751,21.97094154,1.793539166,14.06769657
07-Jan-23 08:00:00,2.583565235,88.97029877,88.95557404,,87.09886169,79.60774994,54.97123718,21.99511719,1.773197174,14.11036396
07-Jan-23 09:00:00,2.575745344,87.26206207,89.10895538,,86.94957733,79.30845642,55.01206207,21.97790909,1.785098791,14.03377342
07-Jan-23 10:00:00,2.58481431,88.21947479,88.84000397,,86.71414185,78.99760437,54.96618652,22.00473213,1.796697855,14.01612091
07-Jan-23 11:00:00,2.577254057,86.53691864,89.128479,,86.74860382,78.93006134,54.98387527,22.01317406,1.783554435,14.04755497
07-Jan-23 12:00:00,2.584300518,86.95688629,88.73034668,,86.98901367,79.25759125,55.02902222,22.00980186,1.77811861,13.98815823
07-Jan-23 13:00:00,2.575978041,88.47171021,89.08633423,,86.87645721,79.27493286,54.97096634,22.99733925,1.802390575,14.09357548
07-Jan-23 14:00:00,2.56278944,85.59457397,89.1418457,,86.84679413,79.23540497,54.97909164,22.99242401,1.816666842,14.17934895
07-Jan-23 15:00:00,2.56808567,86.53392792,89.32492828,,86.78507233,79.20652771,55.00037003,23.00089073,1.811531663,14.17024136
07-Jan-23 16:00:00,2.568521261,86.43385315,88.92031097,,86.7923584,79.18278503,55.01662064,23.00587273,1.783116937,14.07126999
07-Jan-23 17:00:00,2.557146311,85.48677063,89.22264862,,86.62877655,79.04821014,55.60998535,23.01254845,1.789957047,14.31323814
07-Jan-23 18:00:00,2.532048225,85.99380493,89.31241608,,86.98200989,79.51261902,55.02954102,20.98332977,1.787093639,13.79389286
07-Jan-23 19:00:00,2.564517498,85.29360962,89.14147186,,87.0586319,79.57066345,54.95859909,20.96509933,1.771245122,14.09415722
07-Jan-23 20:00:00,2.541903496,87.22409821,89.35536957,,86.92071533,79.49627686,54.96945953,20.98518562,1.800652504,13.97563648
07-Jan-23 21:00:00,2.561407566,84.42766571,89.16065216,,86.51368713,78.89670563,55.01901627,20.99890327,1.806683183,14.12707996
07-Jan-23 22:00:00,2.594922066,86.3197403,89.02435303,,87.19825745,79.67528534,54.98481369,20.97223282,1.830130339,13.98450565
07-Jan-23 23:00:00,2.588118553,87.27587891,89.1900177,,87.02436066,79.48278809,54.96707535,21.99494171,1.795863271,13.93446922
08-Jan-23 00:00:00,2.574760199,85.83620453,89.07782745,,86.59028625,79.04219818,55.00485611,21.97561836,1.789001703,14.18537998
08-Jan-23 01:00:00,2.5965271,86.61971283,89.02526093,,86.78794098,79.35845947,55.25106049,22.01362801,1.806316972,13.9667244
08-Jan-23 02:00:00,2.601346493,87.55823517,89.27963257,,86.84241486,79.19368744,55.00402832,24.0131321,1.759376764,13.95440292
08-Jan-23 03:00:00,2.569165468,85.52855682,88.83596802,,86.77532959,79.35346985,55.09534454,23.98643684,1.800446033,13.97690392
08-Jan-23 04:00:00,2.58460784,87.8158493,89.03819275,,86.6155014,79.12746429,54.97745895,23.99294472,1.783669114,14.26586723
08-Jan-23 05:00:00,2.552114248,88.68654633,88.93123627,,86.87698364,79.34038544,54.97928238,24.02220154,1.79353869,14.0885725
08-Jan-23 06:00:00,2.53832674,83.42357635,89.24291229,,86.57147217,78.99697113,55.09302521,23.99430275,1.79692924,14.14440155
08-Jan-23 07:00:00,2.581748009,85.75591278,89.00853729,,86.17326355,78.68792725,55.03201294,21.02484703,1.802460074,14.1807003
08-Jan-23 08:00:00,2.574720621,86.38219452,89.46095276,,86.43618774,78.78434753,55.00165939,20.98908806,1.804897428,13.87193298
08-Jan-23 09:00:00,2.588763714,85.48157501,88.47459412,,86.40759277,78.76380157,54.97103882,20.99388695,1.768803596,14.20845222
08-Jan-23 10:00:00,2.589392662,86.53273773,88.89611816,,86.3157196,78.71075439,54.92152023,21.01983452,1.800461888,14.15384197
08-Jan-23 11:00:00,2.604113579,86.46105957,89.00118256,,86.56408691,78.91721344,55.20750427,21.02883148,1.788997054,13.84424019
08-Jan-23 12:00:00,2.593598604,86.38899231,89.18141937,,86.61526489,79.09225464,55.00378418,20.99790192,1.806566715,14.16722965
08-Jan-23 13:00:00,2.590114355,88.25630188,89.40969086,,86.67463684,79.29414368,55.008255,24.98508644,1.805003762,13.38236237
08-Jan-23 14:00:00,2.544013023,86.41287994,89.13843536,,86.77023315,79.20561218,54.93057632,25.0039959,1.803618431,13.80920029
08-Jan-23 15:00:00,2.588282347,88.84042358,89.19633484,,86.74129486,79.17556,54.98565292,23.00592613,1.788515449,14.06800556
08-Jan-23 16:00:00,2.553643227,89.81829834,89.39595032,,86.65099335,79.1144104,55.17871857,23.05166626,1.784146547,13.92492485
08-Jan-23 17:00:00,2.579128027,88.75682831,89.36536407,,86.8763504,79.35952759,55.0210495,23.01355553,1.821393967,14.1919775
08-Jan-23 18:00:00,2.559557676,89.91281128,88.98256683,,86.89034271,79.35282898,55.14076233,23.01884842,1.772235632,13.97282124
08-Jan-23 19:00:00,2.543000937,89.44450378,88.98059845,,86.83934021,79.40555573,54.96403885,23.00587082,1.815040588,14.06165504
08-Jan-23 20:00:00,2.563803196,89.25170135,89.49311066,,86.53579712,79.11269379,55.0295105,23.03133011,1.794492483,14.01185417
08-Jan-23 21:00:00,2.550251245,87.9785614,89.18000793,,86.72769165,79.26609802,55.05899429,22.97080803,1.826155066,14.02865696
08-Jan-23 22:00:00,2.556329489,87.44261169,89.2121048,,86.43102264,79.02629089,54.98951721,23.01174355,1.773912787,14.05890465
08-Jan-23 23:00:00,2.521796942,88.2352066,89.42153168,,86.52619934,78.91464996,55.00440216,22.99486923,1.806581259,14.13799286
09-Jan-23 00:00:00,2.544675589,87.06645966,88.84598541,,86.45837402,79.0019989,54.99961853,22.96762085,1.791074753,14.09374905
09-Jan-23 01:00:00,2.552629709,90.19744873,89.04782104,,86.35366058,78.83534241,54.97912979,21.0131855,1.783567309,14.18851948
09-Jan-23 02:00:00,2.563610792,86.93991089,89.47103119,,86.29640198,78.7016983,54.89772415,20.97477341,1.792870283,14.22280121
09-Jan-23 03:00:00,2.563893318,85.67601776,89.23513031,,86.07034302,78.61984253,55.00247574,20.97942543,1.803952813,13.95969105
09-Jan-23 04:00:00,2.564260721,88.42079163,89.00803375,,85.95674896,78.43609619,55.03311157,21.0106945,1.761006713,14.07684803
09-Jan-23 05:00:00,2.585155964,88.53846741,89.14852142,,86.06891632,78.6125412,54.98677063,21.01646233,1.789639473,14.17885208
09-Jan-23 06:00:00,2.573857546,85.11131287,89.17853546,,85.6920166,78.26314545,54.99432373,21.00721741,1.816361547,14.19062424
09-Jan-23 07:00:00,2.58233881,87.34106445,89.17815399,,85.80101776,78.27909088,55.01921844,20.98051834,1.771442652,14.05548096
